web-scraper-order,web-scraper-start-url,pagelink,pagelink-href,pagelink2,pagelink2-href
"1716323825-227","https://cesta.stanford.edu/events/past-events","","","Digital Tools and Methods for the Humanities and Social Sciences: Zotero and Tropy","https://cesta.stanford.edu/events/digital-tools-and-methods-humanities-and-social-sciences-zotero-and-tropy"
"1716323825-228","https://cesta.stanford.edu/events/past-events","","","A Cloud Computing Primer","https://cesta.stanford.edu/events/cloud-computing-primer"
"1716323825-229","https://cesta.stanford.edu/events/past-events","","","GISDay@Stanford","https://cesta.stanford.edu/events/gisdaystanford"
"1716323825-230","https://cesta.stanford.edu/events/past-events","","","Intermediate Python: Going Beyond Basic Commands","https://cesta.stanford.edu/events/intermediate-python-going-beyond-basic-commands-0"
"1716323825-231","https://cesta.stanford.edu/events/past-events","","","Digital Tools and Methods for the Humanities and Social Sciences: Text Analysis with Python","https://cesta.stanford.edu/events/digital-tools-and-methods-humanities-and-social-sciences-text-analysis-python"
"1716323825-232","https://cesta.stanford.edu/events/past-events","","","Introduction To R","https://cesta.stanford.edu/events/introduction-r-0"
"1716323825-233","https://cesta.stanford.edu/events/past-events","","","Early Modern Recipe Transcribathon","https://cesta.stanford.edu/events/early-modern-recipe-transcribathon"
"1716323825-234","https://cesta.stanford.edu/events/past-events","","","Digital Tools and Methods for the Humanities and Social Sciences: Text Analysis with R","https://cesta.stanford.edu/events/digital-tools-and-methods-humanities-and-social-sciences-text-analysis-r"
"1716323825-235","https://cesta.stanford.edu/events/past-events","","","Nicole Coleman - Are You Worried About Data Bias? Invest in Libraries","https://cesta.stanford.edu/events/nicole-coleman-are-you-worried-about-data-bias-invest-libraries"
"1716323825-236","https://cesta.stanford.edu/events/past-events","","","Introduction To Python","https://cesta.stanford.edu/events/introduction-python"
"1716323825-237","https://cesta.stanford.edu/events/past-events","","","Center for Spatial and Textual Analysis Tour (Reunion Homecoming)","https://cesta.stanford.edu/events/center-spatial-and-textual-analysis-tour-reunion-homecoming"
"1716323825-238","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Agnieszka Backman","https://cesta.stanford.edu/events/cesta-seminar-series-agnieszka-backman"
"1716323825-239","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Dr. Rowan Dorin, Thawsitt Naing, and Clara Romani","https://cesta.stanford.edu/events/cesta-seminar-series-dr-rowan-dorin-thawsitt-naing-and-clara-romani"
"1716323825-240","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Rachel Midura","https://cesta.stanford.edu/events/cesta-seminar-series-rachel-midura"
"1716323825-241","https://cesta.stanford.edu/events/past-events","","","Symposium on Women/Gender Minorities in Print/Publishing in the 20th Century","https://cesta.stanford.edu/events/symposium-womengender-minorities-printpublishing-20th-century"
"1716323825-242","https://cesta.stanford.edu/events/past-events","","","Women and Gender Minorities in Digital Humanities Collegium","https://cesta.stanford.edu/events/women-and-gender-minorities-digital-humanities-collegium"
"1716323825-243","https://cesta.stanford.edu/events/past-events","","","Women and Gender Minorities in Digital Humanities Collegium","https://cesta.stanford.edu/events/women-and-gender-minorities-digital-humanities-collegium-0"
"1716323825-244","https://cesta.stanford.edu/events/past-events","","","Women and Gender Minorities in Digital Humanities Collegium","https://cesta.stanford.edu/events/women-and-gender-minorities-digital-humanities-collegium-1"
"1716323825-245","https://cesta.stanford.edu/events/past-events","","","Finding and Using Social Media Data","https://cesta.stanford.edu/events/finding-and-using-social-media-data"
"1716323825-246","https://cesta.stanford.edu/events/past-events","","","Launch Event for The Chinese Deathscape Digital Project","https://cesta.stanford.edu/events/launch-event-chinese-deathscape-digital-project"
"1716323825-247","https://cesta.stanford.edu/events/past-events","","","Digital Humanities Showcase","https://cesta.stanford.edu/events/digital-humanities-showcase"
"1716323825-248","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Gordon Chang and Shelley Fisher Fishkin","https://cesta.stanford.edu/events/cesta-seminar-series-gordon-chang-and-shelley-fisher-fishkin"
"1716323825-249","https://cesta.stanford.edu/events/past-events","","","Introduction To Git & GitHub For Organizing Your Stuff","https://cesta.stanford.edu/events/introduction-git-github-organizing-your-stuff"
"1716323825-250","https://cesta.stanford.edu/events/past-events","","","Introduction to Machine Learning with Python","https://cesta.stanford.edu/events/introduction-machine-learning-python"
"1716323825-251","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Luca Scholz","https://cesta.stanford.edu/events/cesta-seminar-series-luca-scholz"
"1716323825-252","https://cesta.stanford.edu/events/past-events","","","Text Analysis with R","https://cesta.stanford.edu/events/text-analysis-r"
"1716323825-253","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Ge Wang","https://cesta.stanford.edu/events/cesta-seminar-series-ge-wang"
"1716323825-254","https://cesta.stanford.edu/events/past-events","","","Introduction To The Shell & Command Line","https://cesta.stanford.edu/events/introduction-shell-command-line"
"1716323825-255","https://cesta.stanford.edu/events/past-events","","","Data Visualization with Tableau","https://cesta.stanford.edu/events/data-visualization-tableau"
"1716323825-256","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with the Josquin Music Project - Jesse Rodin, Craig Sapp, and Christina Ding","https://cesta.stanford.edu/events/cesta-seminar-series-josquin-music-project-jesse-rodin-craig-sapp-and-christina-ding"
"1716323825-257","https://cesta.stanford.edu/events/past-events","","","Introduction To R","https://cesta.stanford.edu/events/introduction-r-1"
"1716323825-258","https://cesta.stanford.edu/events/past-events","","","Data Manipulation with R (Tidyverse)","https://cesta.stanford.edu/events/data-manipulation-r-tidyverse"
"1716323825-259","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with George Philip LeBourdais","https://cesta.stanford.edu/events/cesta-seminar-series-george-philip-lebourdais"
"1716323825-260","https://cesta.stanford.edu/events/past-events","","","Workshop on Digital Humanities to Preserve Knowledge and Cultural Heritage","https://cesta.stanford.edu/events/workshop-digital-humanities-preserve-knowledge-and-cultural-heritage"
"1716323825-261","https://cesta.stanford.edu/events/past-events","","","150th Anniversary of the Golden Spike: Chinese Workers and the Transcontinental Railroad","https://cesta.stanford.edu/events/150th-anniversary-golden-spike-chinese-workers-and-transcontinental-railroad"
"1716323825-262","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Rosetta","https://cesta.stanford.edu/events/cesta-seminar-series-rosetta"
"1716323825-263","https://cesta.stanford.edu/events/past-events","","","Urban Legacy of Ancient Rome: The Ernest Nash and Rodolfo Lanciani Collections Public Release and Exhibit Opening","https://cesta.stanford.edu/events/urban-legacy-ancient-rome-ernest-nash-and-rodolfo-lanciani-collections-public-release-and"
"1716323825-264","https://cesta.stanford.edu/events/past-events","","","Data Modeling: From Research Materials to Data","https://cesta.stanford.edu/events/data-modeling-research-materials-data"
"1716323825-265","https://cesta.stanford.edu/events/past-events","","","Sesquicentennial Celebration of the Completion of the Transcontinental Railroad featuring the 66-foot-long Judah Map | Talks by Richard White and Hilton Obenzinger","https://cesta.stanford.edu/events/sesquicentennial-celebration-completion-transcontinental-railroad-featuring-66-foot-long"
"1716323825-266","https://cesta.stanford.edu/events/past-events","","","Documenting Workflow and Data Management","https://cesta.stanford.edu/events/documenting-workflow-and-data-management"
"1716323825-267","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Elaine Treharne,  Alice Staveley, Giovanna Ceserani, and Quinn Dombrowski","https://cesta.stanford.edu/events/cesta-seminar-series-elaine-treharne-alice-staveley-giovanna-ceserani-and-quinn-dombrowski"
"1716323825-268","https://cesta.stanford.edu/events/past-events","","","CANCELED - CESTA Seminar Series with Jure Leskovec","https://cesta.stanford.edu/events/canceled-cesta-seminar-series-jure-leskovec"
"1716323825-269","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Elaine Treharne, Alice Staveley, and Quinn Dombrowski","https://cesta.stanford.edu/events/cesta-seminar-series-elaine-treharne-alice-staveley-and-quinn-dombrowski"
"1716323825-270","https://cesta.stanford.edu/events/past-events","","","Introduction to Unix and Git for Academics","https://cesta.stanford.edu/events/introduction-unix-and-git-academics"
"1716323825-271","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Abby Rumsey","https://cesta.stanford.edu/events/cesta-seminar-series-abby-rumsey"
"1716323825-272","https://cesta.stanford.edu/events/past-events","","","AI, Humanities & the Arts Workshop","https://cesta.stanford.edu/events/ai-humanities-arts-workshop"
"1716323825-273","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with James Zou","https://cesta.stanford.edu/events/cesta-seminar-series-james-zou"
"1716323825-274","https://cesta.stanford.edu/events/past-events","","","R for GIS","https://cesta.stanford.edu/events/r-gis"
"1716323825-275","https://cesta.stanford.edu/events/past-events","","","Hands-on Intro to SQL (Structured Query Language)","https://cesta.stanford.edu/events/hands-intro-sql-structured-query-language"
"1716323825-276","https://cesta.stanford.edu/events/past-events","","","Introduction to R","https://cesta.stanford.edu/events/introduction-r-2"
"1716323825-277","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Estelle Freedman, Natalie Jean Marine-Street, Katie McDonough, and Hilary Sun","https://cesta.stanford.edu/events/cesta-seminar-series-estelle-freedman-natalie-jean-marine-street-katie-mcdonough-and-hilary"
"1716323825-278","https://cesta.stanford.edu/events/past-events","","","Topics in Geographic Text Analysis","https://cesta.stanford.edu/events/topics-geographic-text-analysis"
"1716323825-279","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with Lena Zlock","https://cesta.stanford.edu/events/cesta-seminar-series-lena-zlock"
"1716323825-280","https://cesta.stanford.edu/events/past-events","","","CESTA Seminar Series with James T. Hamilton","https://cesta.stanford.edu/events/cesta-seminar-series-james-t-hamilton-0"
